"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1 ","608594","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","10555","603100","SLC1","YDL052C","SphingoLipid Compensation","Panther"
"LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1 ","608594","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","10555","603100","SLC1","YDL052C","SphingoLipid Compensation","TreeFam"
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A ","162400","SPTLC1","serine palmitoyltransferase, long chain base subunit 1","10558","605712","LCB1","YMR296C","Long-Chain Base","Ensembl"
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A ","162400","SPTLC1","serine palmitoyltransferase, long chain base subunit 1","10558","605712","LCB1","YMR296C","Long-Chain Base","HomoloGene"
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A ","162400","SPTLC1","serine palmitoyltransferase, long chain base subunit 1","10558","605712","LCB1","YMR296C","Long-Chain Base","Panther"
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A ","162400","SPTLC1","serine palmitoyltransferase, long chain base subunit 1","10558","605712","LCB1","YMR296C","Long-Chain Base","TreeFam"
"PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY, AUTOSOMAL RECESSIVE; ARPHM ","608097","ARFGEF2","ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)","10564","605371","SEC7","YDR170C","SECretory","Ensembl"
"PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY, AUTOSOMAL RECESSIVE; ARPHM ","608097","ARFGEF2","ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)","10564","605371","SEC7","YDR170C","SECretory","TreeFam"
"NIEMANN-PICK DISEASE, TYPE C2 ","607625","NPC2","Niemann-Pick disease, type C2","10577","601015","NPC2","YDL046W","Niemann Pick type C homolog","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT1","YDL095W","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT2","YAL023C","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT3","YOR321W","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","HomoloGene"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","TreeFam"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT5","YDL093W","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 1; MDDGA1 ","236670","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT6","YGR199W","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT1","YDL095W","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT2","YAL023C","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT3","YOR321W","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","HomoloGene"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","TreeFam"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT5","YDL093W","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 1; MDDGB1 ","613155","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT6","YGR199W","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT1","YDL095W","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT2","YAL023C","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT3","YOR321W","Protein O-MannosylTransferase","Ensembl"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","HomoloGene"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT4","YJR143C","Protein O-MannosylTransferase","TreeFam"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT5","YDL093W","Protein O-MannosylTransferase","Panther"
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1 ","609308","POMT1","protein-O-mannosyltransferase 1","10585","607423","PMT6","YGR199W","Protein O-MannosylTransferase","Ensembl"
"RETINITIS PIGMENTOSA 13; RP13 ","600059","PRPF8","pre-mRNA processing factor 8","10594","607300","PRP8","YHR165C","Pre-mRNA Processing","Ensembl"
"RETINITIS PIGMENTOSA 13; RP13 ","600059","PRPF8","pre-mRNA processing factor 8","10594","607300","PRP8","YHR165C","Pre-mRNA Processing","HomoloGene"
"RETINITIS PIGMENTOSA 13; RP13 ","600059","PRPF8","pre-mRNA processing factor 8","10594","607300","PRP8","YHR165C","Pre-mRNA Processing","Panther"
"RETINITIS PIGMENTOSA 13; RP13 ","600059","PRPF8","pre-mRNA processing factor 8","10594","607300","PRP8","YHR165C","Pre-mRNA Processing","TreeFam"
"MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP ","614261","STAMBP","STAM binding protein","10617","606247","RFU1","YLR073C","Regulator of Free Ubiquitin chains","Panther"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE IV; CDAN4 ","613673","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","RIM101","YHL027W","Regulator of IME2","Panther"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE IV; CDAN4 ","613673","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","RPN4","YDL020C","Regulatory Particle Non-ATPase","Panther"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE IV; CDAN4 ","613673","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","USV1","YPL230W","Up in StarVation","Panther"
"ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE IV; CDAN4 ","613673","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","","YPR022C","","Panther"
"BLOOD GROUP--LUTHERAN INHIBITOR; INLU ","111150","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","RIM101","YHL027W","Regulator of IME2","Panther"
"BLOOD GROUP--LUTHERAN INHIBITOR; INLU ","111150","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","RPN4","YDL020C","Regulatory Particle Non-ATPase","Panther"
"BLOOD GROUP--LUTHERAN INHIBITOR; INLU ","111150","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","USV1","YPL230W","Up in StarVation","Panther"
"BLOOD GROUP--LUTHERAN INHIBITOR; INLU ","111150","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","","YPR022C","","Panther"
"FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 6; HBFQTL6 ","613566","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","RIM101","YHL027W","Regulator of IME2","Panther"
"FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 6; HBFQTL6 ","613566","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","RPN4","YDL020C","Regulatory Particle Non-ATPase","Panther"
"FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 6; HBFQTL6 ","613566","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","USV1","YPL230W","Up in StarVation","Panther"
"FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 6; HBFQTL6 ","613566","KLF1","Kruppel-like factor 1 (erythroid)","10661","600599","","YPR022C","","Panther"
"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14; COXPD14 ","614946","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial","10667","611592","MSF1","YPR047W","Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)","Ensembl"
"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14; COXPD14 ","614946","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial","10667","611592","MSF1","YPR047W","Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)","HomoloGene"
"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14; COXPD14 ","614946","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial","10667","611592","MSF1","YPR047W","Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)","Panther"
"COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14; COXPD14 ","614946","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial","10667","611592","MSF1","YPR047W","Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)","TreeFam"
"SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47 ","614066","AP4B1","adaptor-related protein complex 4, beta 1 subunit","10717","607245","APL2","YKL135C","clathrin Adaptor Protein complex Large chain","Ensembl"
"NEMALINE MYOPATHY 7; NEM7 ","610687","CFL2","cofilin 2 (muscle)","1073","601443","COF1","YLL050C","COFilin","Ensembl"
"NEMALINE MYOPATHY 7; NEM7 ","610687","CFL2","cofilin 2 (muscle)","1073","601443","COF1","YLL050C","COFilin","Panther"
"NEMALINE MYOPATHY 7; NEM7 ","610687","CFL2","cofilin 2 (muscle)","1073","601443","COF1","YLL050C","COFilin","TreeFam"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Ensembl"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","STE6","YKL209C","STErile","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Ensembl"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1 ","211400","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","","YKR104W","","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Ensembl"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","STE6","YKL209C","STErile","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Ensembl"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"CYSTIC FIBROSIS; CF ","219700","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","","YKR104W","","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Ensembl"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","STE6","YKL209C","STErile","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Ensembl"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"PANCREATITIS, HEREDITARY; PCTT ","167800","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","","YKR104W","","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Ensembl"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","STE6","YKL209C","STErile","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Ensembl"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF; CBAVD ","277180","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","1080","602421","","YKR104W","","Panther"
"AMYOTROPHY, HEREDITARY NEURALGIC; HNA ","162100","SEPT9","septin 9","10801","604061","CDC10","YCR002C","Cell Division Cycle","Ensembl"
"AMYOTROPHY, HEREDITARY NEURALGIC; HNA ","162100","SEPT9","septin 9","10801","604061","CDC10","YCR002C","Cell Division Cycle","Panther"
"AMYOTROPHY, HEREDITARY NEURALGIC; HNA ","162100","SEPT9","septin 9","10801","604061","CDC10","YCR002C","Cell Division Cycle","TreeFam"
"FLOATING-HARBOR SYNDROME; FLHS ","136140","SRCAP","Snf2-related CREBBP activator protein","10847","611421","SWR1","YDR334W","SWi2/snf2-Related","Ensembl"
